,Original slurry,System type,Solid content of slurry (vol.%),Green density (% TD),Sintered bulk density (% TD),Linear shrinkage (%)
0,SL/K,CR15/UF15,34.7,48.4±0.7,Sample 1: 71 Sample 2: 81,"14, 18"
1,SL/R,RA207LS,48.4,63.8±0.3,99.03±0.08,12.90
2,SL/J,RA207LS/UF15,49.8,64.1±0.2,97.68±0.30,13.93
3,SL/L,49.8,63.7±0.2,97.17±1.13,12.63,
4,SL/P,49.5,63.3±0.3,98.03±0.54,13.51,
5,SL/S,49.4,63.2±0.3,98.27±0.25,13.69,
6,SL/N1,RA207LS/UF32,48.9,62.0±0.1,94.98±0.27,13.10
7,SL/V,48.3,62.0±0.0,94.34±0.19,13.44,
8,SL/N2,RA207LS/UF45,48.4,61.9±0.1,94.50±0.47,13.15
9,SL/W,48.2,61.1±0.3,93.76±0.73,13.48,
10,SL/Q1,RA207LS/ENEA,37.2,56.3±0.1,84.58±0.98,13.44
11,SL/Q2,38.6,54.1±0.1,98.97±0.12,17.49,
