,0,1,2,V OC (V),J SC (mA/cm2),FF (%),PCE (%)
1_9_0,PBDTT-TT,,,0.78,15.41,61.25,7.38 [7.29]
1_9_1,PBDTT-TT,,,0.77,14.99,63.92,7.42 [7.35]
1_9_2,PBDTT-O-TT,,,0.74,14.67,61.50,6.68 [6.56]
1_9_3,PBDTT-O-TT,,,0.73,15.17,64.44,7.10 [7.01]
1_9_4,PBDTT-S-TT,,,0.84,15.32,65.49,8.42 [8.35]
1_9_5,PBDTT-S-TT,,,0.83,15.49,59.01,7.58 [7.46]
1_9_6,a The values in square brackets are the average PCE obtained from 20 devices.,,,a The values in square brackets are the average PCE obtained from 20 devices.,a The values in square brackets are the average PCE obtained from 20 devices.,a The values in square brackets are the average PCE obtained from 20 devices.,a The values in square brackets are the average PCE obtained from 20 devices.
2_2_0,PF‐C12NT,PC61BM,1:1.5,0.93,7.93,53.2,3.93
2_2_1,,,1:1.5 (2 % DIO),0.89,9.59,64.54,5.51
2_2_2,,PC71BM,1:1.5 (2 % DIO),0.87,12.19,61.36,6.51
2_2_3,PAF‐C12NT,PC61BM,1:1.5,0.69,8.45,62.46,3.64
2_2_4,,,1:1.5 (2 % DIO),0.69,9.12,54.77,3.45
2_2_5,,PC71BM,1:1.5,0.64,10.37,47.52,3.15
2_2_6,PCz‐C12NT,PC61BM,1:2,0.82,7.99,46.55,3.05
2_2_7,,PC61BM,1:2 (2 % DIO),0.77,8.85,59.7,4.07
2_2_8,,PC71BM,1:2 (2 % DIO),0.76,11.31,56.41,4.85
2_2_9,PBDT‐C12NT,PC61BM,1:1,0.7,10.78,62.44,4.71
2_2_10,,,1:1 (2 % DIO),0.68,10.74,68.53,5.0
2_2_11,,PC71BM,1:1 (2 % DIO),0.68,11.74,58.4,4.66
4_0_0,NT1014,,,0.77,7.25 ± 0.18,52.94 ± 0.70,3.03 (2.93)
4_0_1,NT812,,,0.72,18.62 ± 0.27,66.70 ± 1.11,9.21 (9.09)
4_0_2,NT812,,,0.72,19.09 ± 0.19,72.85 ± 1.33,10.33 (10.18)
4_0_3,NT812,,,0.72,19.94 ± 0.36,71.45 ± 1.00,10.23 (10.01)
4_0_4,NT812,,,0.72,19.91 ± 0.15,70.64 ± 0.69,10.22 (10.11)
4_0_5,NT812,,,0.72,20.61 ± 0.62,66.99 ± 1.38,10.20 (10.10)
5_3_0,1,,,0.78,9.31,52.0,3.78
5_3_1,2,,,0.84,13.7,58.4,6.72
5_3_2,3,,,0.78,14.45,65.4,7.37
5_3_3,4,,,0.8,15.55,64.4,8.01
5_3_4,5,,,0.84,4.64,43.4,1.69
5_3_5,6,,,0.8,8.41,53.5,3.6
6_0_0,PDCBT/PC71BM,1.5:1,,0.93,8.8,71,5.8 (5.6)
6_0_1,,1:1,,0.93,9.9,71,6.5 (6.3)
6_0_2,,1:1,,0.94,10.2,72,6.9 (6.7)
