,0,1,2,J SC (mA/cm2),V OC (V),FF (%),PCE (%)
1_1_0,poly(NTD-TPA),,,5.21,0.77,0.34,1.36
1_1_1,poly(NTD-TPA),,,6.87,0.79,0.40,2.15
1_1_2,poly(CR-TPA),,,4.19,0.77,0.31,1.01
1_1_3,poly(CR-TPA),,,6.02,0.76,0.33,1.52
2_2_0, P1 ,,,6.92,620,0.66,2.85
2_2_1, P2 ,,,9.30,640,0.58,3.44
2_2_2, P3 ,,,11.49,730,0.53,4.49
2_2_3,PBDT-BTA,,,10.71,600,0.65,4.17
3_2_0, P(PTQD-Th) ,,,7.92,0.96,0.48,3.65 (3.55) a 
3_2_1,w,,,0.92,0.56,5.54 (5.48) a ,
3_2_2, P(PTQD-2Th) ,,,9.04,0.84,0.52,3.95 (3.86) a 
3_2_3,w,,,0.80,0.60,5.67 (5.58) a ,
4_1_0,PFTTz,,,7.20,0.91,0.40,2.64
4_1_1,PCTTz,,,2.27,0.76,0.41,0.71
4_1_2,PBTTz,,,4.64,0.52,0.58,1.41
5_1_0, PCTTPD a ,,,2.70,0.94,0.45,1.14
5_1_1, PCTTTPD ,,,3.86,0.90,0.36,1.25
5_1_2, PCBTTPD ,,,7.79,0.86,0.51,3.42
6_2_0,PTP36-DBT,,,3.4,0.71,25.6,0.6
6_2_1,PTP36-DBT,,,4.4,0.79,26.8,0.9
6_2_2,PTP27-DBT,,,10.4,0.75,40.7,3.1
6_2_3,PTP27-DBT,,,10.2,0.82,41,3.5
7_0_0,Device 1,,,7.8,0.78,44,2.7
7_0_1,Device 2,,,6.6,0.87,55,3.2
7_0_2,Device 3,,,9.1,0.85,59,4.4
7_0_3,Device 4,,,9.4,0.85,59,4.7
7_0_4,Device 5,,,8.8,0.85,59,4.4
7_0_5,Device 6,,,9.3,0.88,67,5.5
7_0_6,Device 7,,,10.7,0.87,65,6.0
7_0_7,Device 8,,,10.9,0.87,64,6.1
7_0_8,Device 9,,,11.0,0.87,67,6.4
7_0_9,Device 10,,,10.21,0.90,69,6.3
7_0_10,Device 11,,,10.77,0.89,67,6.4
7_0_11,Device 12,,,10.54,0.89,70,6.6
7_0_12,Device 13,,,10.89,0.93,70,7.1
8_0_0,Device 1,,,7.8,0.78,44,2.7
8_0_1,Device 2,,,6.6,0.87,55,3.2
8_0_2,Device 3,,,9.1,0.85,59,4.4
8_0_3,Device 4,,,9.4,0.85,59,4.7
8_0_4,Device 5,,,8.8,0.85,59,4.4
8_0_5,Device 6,,,9.3,0.88,67,5.5
8_0_6,Device 7,,,10.7,0.87,65,6.0
8_0_7,Device 8,,,10.9,0.87,64,6.1
8_0_8,Device 9,,,11.0,0.87,67,6.4
8_0_9,Device 10,,,10.21,0.90,69,6.3
8_0_10,Device 11,,,10.77,0.89,67,6.4
8_0_11,Device 12,,,10.54,0.89,70,6.6
8_0_12,Device 13,,,10.89,0.93,70,7.1
9_2_0,PBT-S,,,14.9,0.64,70.3,6.70
9_2_1,PBT-SO2-M,,,5.95,0.81,37.9,1.82
9_2_2,PBT-SO2-H,,,14.6,0.71,62.9,6.52
10_2_0,PQ1,,,2.18,0.98,42.03,0.90
10_2_1, PQ1 ,,, 2.12 , 1.01 , 50.68 , 1.08 
10_2_2,PQ1,,,1.98,0.98,53.36,1.03
10_2_3,PQ1,,,2.37,0.86,37.47,0.77
10_2_4,PQ1,,,2.36,0.87,39.04,0.80
10_2_5,PQ2,,,5.31,0.74,41.82,1.64
10_2_6,PQ2,,,7.06,0.83,58.43,3.41
10_2_7,PQ2,,,5.75,0.81,66.47,3.08
10_2_8,PQ2,,,7.72,0.82,56.10,3.54
10_2_9, PQ2 ,,, 7.68 , 0.80 , 62.05 , 3.80 
10_2_10,PQ3,,,1.47,0.75,48.74,0.54
10_2_11,PQ3,,,1.47,0.75,53.67,0.59
10_2_12,PQ3,,,1.19,0.76,58.15,0.53
10_2_13,PQ3,,,2.35,0.77,56.55,1.02
10_2_14, PQ3 ,,, 2.67 , 0.78 , 52.36 , 1.09 
10_2_15,PQ4,,,4.20,0.83,43.22,1.52
10_2_16,PQ4,,,4.57,0.90,49.63,2.04
10_2_17,PQ4,,,3.96,0.89,47.48,1.67
10_2_18, PQ4 ,,, 6.17 , 0.94 , 48.80 , 2.83 
10_2_19,PQ4,,,5.84,0.92,50.38,2.70
10_3_0,PQ1,,,2.12,0.95,56,1.08
10_3_1,PQ1,,,2.36,1.09,39.04,0.80
10_3_2,PBDT-TTz,,,6.21,0.93,58,3.32
10_3_3,PBDT-1T-TTz,,,8.02,1.01,40.9,3.0
10_3_4,PQ2,,,5.75,1.16,66.47,3.08
10_3_5,PBT-3T,,,2.15,1.18,34,0.34
10_3_6,PQ3,,,2.67,0.51,52.36,1.09
10_3_7,PDPP-BDT,,,8.40,0.63,44.3,2.53
10_3_8,PQ4,,,3.96,0.84,47.48,1.67
10_3_9,PBDTTEH–DTHBTff,,,11.87,1.04,55.2,4.46
11_1_0,CB,,,5.81,0.94,45.8,2.50
